title,artist,link,description
Drawing of Monaghan (1955),Edith Duke,https://collections.ed.ac.uk/art/record/21217?highlight=*:*,"From ECA Diploma examination, 1955."
Inscription Panel from Trajan's Column (right side),Unknown,https://collections.ed.ac.uk/art/record/20537?highlight=*:*,EU1410
Reclining Female Nude (1953),Iain West,https://collections.ed.ac.uk/art/record/20783?highlight=*:*,Gained his Diploma in 1953 from ECA
Landscape (1951),James P W Syme,https://collections.ed.ac.uk/art/record/20836?highlight=*:*,Gained his Diploma in 1951 and PG in 1952 from ECA.
Unknown (1950),Katherine B K Burns,https://collections.ed.ac.uk/art/record/50571?highlight=*:*,"Profile portrait of of seated nude female figure, looking to right with right heel raised and right arm across lap."
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*,graphite (mineral)/inorganic material/materials (substances)
Toledo (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21374?highlight=*:*,Drawing made during travelling scholarship.
Portrait of Standing Woman wearing Overalls (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20889?highlight=*:*,Gained Diploma in 1959 and PG in 1960 from ECA.
Two Girls by the Harbour (2006),John Bellany,https://collections.ed.ac.uk/art/record/21531?highlight=*:*,oil paint (paint)/paint (coating)
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21870?highlight=*:*,NA
Unknown,Audry Redpath,https://collections.ed.ac.uk/art/record/50434?highlight=*:*,paint (coating)
Swirl V (1998),Fionna Buck,https://collections.ed.ac.uk/art/record/21674?highlight=*:*,"Abstract monotype print, framed."
Untitled - Standing Nude Female (1963-1964),Irene G. Thomson,https://collections.ed.ac.uk/art/record/99419?highlight=*:*,"Figure drawing in conte, graphite, and white chalk of nude female standing with her back to the viewer and hair in a bun."
Standing Nude (1960),John Johnstone,https://collections.ed.ac.uk/art/record/21358?highlight=*:*,ink/coating (material)/materials (substances)
Untitled - Nude Woman Wearing Veil (1962),June M. Morgan,https://collections.ed.ac.uk/art/record/99354?highlight=*:*,Figure drawing in graphite of a nude woman sitting wearing a veiled hat and looking off to the right.
Townscape with Church (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21034?highlight=*:*,Gained her MA in 1954 and PG in 1955 from ECA.
Untitled (2004),Shona Van Dam,https://collections.ed.ac.uk/art/record/21791?highlight=*:*,Flower and moon.
Untitled (2006),Amelia Smith,https://collections.ed.ac.uk/art/record/99863?highlight=*:*,Print
Portrait of a Woman (1951),Andrew Kidd,https://collections.ed.ac.uk/art/record/21235?highlight=*:*,graphite (mineral)/inorganic material/materials (substances)
Boats and Collies (1929),Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21751?highlight=*:*,Art Collection
Drawing of Reclining Nude Sculpture (15 May 1950),David Michie,https://collections.ed.ac.uk/art/record/21036?highlight=*:*,Gained his Diplioma from ECA in 1952 and PG in 1953.
Unknown (1985),Donald Provan,https://collections.ed.ac.uk/art/record/50418?highlight=*:*,Male figure reading in foreground with female figure standing behind him
Ashes and Diamonds (Unknown),David Freed,https://collections.ed.ac.uk/art/record/21654?highlight=*:*,Art Collection
Seated Female Nude (1959),W Bryden,https://collections.ed.ac.uk/art/record/21107?highlight=*:*,Gained his Diploma in 1959
Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*,Drawing for Diploma examination at ECA.
Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*,Abstract series of bold shapes in block colours. Artist's print.
Abstract Composition with Fabric Collage,Caroline E. L. Wilkinson,https://collections.ed.ac.uk/art/record/22511?highlight=*:*,Art Collection
Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21784?highlight=*:*,NA
Reclining Female Nude (14 Dec 1952),Llewella Brayne,https://collections.ed.ac.uk/art/record/20940?highlight=*:*,Gained Degree from ECA in 1953.
Standing Female Nude (Nov 1957),Walter Miller,https://collections.ed.ac.uk/art/record/20908?highlight=*:*,Gained his Diploma in 1958 from ECA.
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50544?highlight=*:*,"Full length portrait of standing nude female figure, controposto with left hand behind back"
Portrait of a Seated Woman,Barbara Mackie,https://collections.ed.ac.uk/art/record/20999?highlight=*:*,Art Collection
Portrait of a Man (1954),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21408?highlight=*:*,graphite (mineral)/inorganic material/materials (substances)
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,https://collections.ed.ac.uk/art/record/99478?highlight=*:*,"Portrait in graphite, charcoal and ink wash of a woman sitting in a chair and reading."
Portrait of a Woman (1947),James Cumming,https://collections.ed.ac.uk/art/record/21363?highlight=*:*,graphite (mineral)/inorganic material/materials (substances)
Untitled (1967),Christine Watson,https://collections.ed.ac.uk/art/record/21772?highlight=*:*,Portrait of a man
Untitled (1969),John Stewart,https://collections.ed.ac.uk/art/record/99528?highlight=*:*,"Life dawing of nude female model using coloued pencils in red and blue shades, making use of geometic shapes and sharp lines to construct the image of the reclining female."
