title,artist,link
Study for completed image (1960),Vivien Alexander,https://collections.ed.ac.uk/art/record/50625?highlight=*:*
Untitled (1987),Martin McInally,https://collections.ed.ac.uk/art/record/21939?highlight=*:*
Untitled - Abstract Collage with Spheres (1988-1990),Arlene Isbister,https://collections.ed.ac.uk/art/record/99471?highlight=*:*
Still Life with Drapes (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22651?highlight=*:*
Untitled (Unknown),Alison Williams,https://collections.ed.ac.uk/art/record/21944?highlight=*:*
Untitled (Unknown),Gregg Magee,https://collections.ed.ac.uk/art/record/21639?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/102726?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21264?highlight=*:*
Multiple Views of Female Nude (1949),Douglas Gordon,https://collections.ed.ac.uk/art/record/21102?highlight=*:*
Untitled (1962),Helen Wishart,https://collections.ed.ac.uk/art/record/21764?highlight=*:*
Goat,Emma Gillies,https://collections.ed.ac.uk/art/record/53754?highlight=*:*
138 (2015),Mark Osborne,https://collections.ed.ac.uk/art/record/53773?highlight=*:*
Unknown (Circa 1890),Unknown,https://collections.ed.ac.uk/art/record/50468?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,https://collections.ed.ac.uk/art/record/22544?highlight=*:*
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/99388?highlight=*:*
Portrait of a Woman in a Jumper (1959),W Bryden,https://collections.ed.ac.uk/art/record/21106?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20868?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/21788?highlight=*:*
Untitled (Unknown),Moyna Flannigan,https://collections.ed.ac.uk/art/record/21933?highlight=*:*
Untitled (Unknown),Rhalina Morgan,https://collections.ed.ac.uk/art/record/21688?highlight=*:*
Fragment of ornament (spandrel shape),Unknown,https://collections.ed.ac.uk/art/record/20565?highlight=*:*
Man with Glasses (1941),P. G. Prescot,https://collections.ed.ac.uk/art/record/22737?highlight=*:*
Portrait of a Woman (1964),Peter Pretsell,https://collections.ed.ac.uk/art/record/21420?highlight=*:*
Reclining Nude (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21177?highlight=*:*
Domestic Landscape I (2005),Giedre Karsokiene,https://collections.ed.ac.uk/art/record/99969?highlight=*:*
Self Portrait (1966),John Bellany,https://collections.ed.ac.uk/art/record/20741?highlight=*:*
Untitled - Abstract Stripes (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99423?highlight=*:*
Girls from East Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20681?highlight=*:*
Goats Feeding (1974),Anthony Gross,https://collections.ed.ac.uk/art/record/21748?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21851?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20676?highlight=*:*
Standing Male Nude (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21330?highlight=*:*
Untitled - Nude Bathing Figures (1963),F. Milner,https://collections.ed.ac.uk/art/record/99365?highlight=*:*
Parc de Tuileries - Paris (1963),John Bellany,https://collections.ed.ac.uk/art/record/21533?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53612?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21554?highlight=*:*
Unknown,James H Donaldson,https://collections.ed.ac.uk/art/record/53528?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53680?highlight=*:*
Untitled (1967),Helen Pollock,https://collections.ed.ac.uk/art/record/22028?highlight=*:*
Untitled (1963),[Unknown] Black,https://collections.ed.ac.uk/art/record/22024?highlight=*:*
Unknown (15 Feb 1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50593?highlight=*:*
Untitled (1968),Sheila Wardrope,https://collections.ed.ac.uk/art/record/22495?highlight=*:*
Obstacle - Govan Hill Baths (2014),Charles Myatt,https://collections.ed.ac.uk/art/record/47455?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50600?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21548?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53648?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21707?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53666?highlight=*:*
Skeleton (1957),Norman E Kirkpatrick,https://collections.ed.ac.uk/art/record/21023?highlight=*:*
House and Garden,Colin Campbell,https://collections.ed.ac.uk/art/record/21435?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99915?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,https://collections.ed.ac.uk/art/record/22565?highlight=*:*
Untitled (1966),Gillian Mather,https://collections.ed.ac.uk/art/record/22002?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99956?highlight=*:*
Five Senses No.3 - Sense of Smell (2006),John Schulz,https://collections.ed.ac.uk/art/record/99872?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20693?highlight=*:*
"Armorial panel from right tower of Mar's Wark, Stirling (1893)",Unknown,https://collections.ed.ac.uk/art/record/20554?highlight=*:*
Elders from East Frieze of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20685?highlight=*:*
Looking for women (2017),Tessa Lynch,https://collections.ed.ac.uk/art/record/102738?highlight=*:*
Unknown (1949),Thomas Clapperton,https://collections.ed.ac.uk/art/record/50560?highlight=*:*
Frieze from the Temple of Athena Nike (2nd left) (1827),NA,https://collections.ed.ac.uk/art/record/20626?highlight=*:*
Untitled - Abstract Male (1960),George H McIntosh,https://collections.ed.ac.uk/art/record/99396?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53661?highlight=*:*
Santa Maria Dalla Salute,William Wilson,https://collections.ed.ac.uk/art/record/21652?highlight=*:*
Views of a Male Nude (Feb 1952),Martin G C McKeown,https://collections.ed.ac.uk/art/record/21416?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20696?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),https://collections.ed.ac.uk/art/record/50553?highlight=*:*
Little Bird (1985),Robert Adam,https://collections.ed.ac.uk/art/record/21622?highlight=*:*
Unknown (1952),Leonard I. H. Gray,https://collections.ed.ac.uk/art/record/53488?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21838?highlight=*:*
Girl in a Mask (Unknown),Cecil Collins,https://collections.ed.ac.uk/art/record/21681?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20700?highlight=*:*
Portrait of a Woman (1960),Elise Brown,https://collections.ed.ac.uk/art/record/20976?highlight=*:*
Reclining Female Nude (Circa 1967),Eileen E M Lawrence,https://collections.ed.ac.uk/art/record/21355?highlight=*:*
(1967),Christine Watson,https://collections.ed.ac.uk/art/record/53609?highlight=*:*
Untitled (1997),BORIS JOERI BRINK,https://collections.ed.ac.uk/art/record/21985?highlight=*:*
Figures and Shadows,Unknown,https://collections.ed.ac.uk/art/record/22645?highlight=*:*
Victory (07 Jul 1946),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/21322?highlight=*:*
Still Life with Fish (1949),Alistair F. Flattely,https://collections.ed.ac.uk/art/record/22700?highlight=*:*
Untitled (1997),Breda Flanagan,https://collections.ed.ac.uk/art/record/21868?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/22022?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53641?highlight=*:*
Composition of Two Figures on Yellow* (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/22624?highlight=*:*
Portrait of a Seated Woman (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21212?highlight=*:*
Unknown (1965),Frances Sander,https://collections.ed.ac.uk/art/record/53595?highlight=*:*
Untitled (1947),Esther W. Hamilton,https://collections.ed.ac.uk/art/record/21731?highlight=*:*
Portrait of a Woman (1958),D W Durwand,https://collections.ed.ac.uk/art/record/20954?highlight=*:*
Portrait of a Man (11 Nov 1957),R Wright,https://collections.ed.ac.uk/art/record/20904?highlight=*:*
Untitled - Man at a Factory (1966-1967),Gregor Smith,https://collections.ed.ac.uk/art/record/99397?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21850?highlight=*:*
Seated Female Nude (1960s),Unknown,https://collections.ed.ac.uk/art/record/21283?highlight=*:*
Ayrshire Christening robe,Unknown,https://collections.ed.ac.uk/art/record/100006?highlight=*:*
Untitled,Jean M. A. Conacher,https://collections.ed.ac.uk/art/record/112352?highlight=*:*
Landscape,Donald Clark,https://collections.ed.ac.uk/art/record/21490?highlight=*:*
Still Life (1995),Lorna McIntosh,https://collections.ed.ac.uk/art/record/22607?highlight=*:*
Untitled - Drawing of a Girl Sitting in Profile (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99325?highlight=*:*
El Portento (1951),Edward A. Gage or Valerie A. Cockburn (Gage),https://collections.ed.ac.uk/art/record/22676?highlight=*:*
Edinburgh College of Art Main Building,Takahiro Iwasaki,https://collections.ed.ac.uk/art/record/53473?highlight=*:*
Dish,Emma Gillies,https://collections.ed.ac.uk/art/record/53731?highlight=*:*
Untitled,Peter Picket,https://collections.ed.ac.uk/art/record/112449?highlight=*:*
Portrait of a Seated Man (1951),James P W Syme,https://collections.ed.ac.uk/art/record/21370?highlight=*:*
ça et là au bord de la mer (Jul 1993),Jane Watt,https://collections.ed.ac.uk/art/record/21955?highlight=*:*
Fragment of ornament (right angle with foliage),Unknown,https://collections.ed.ac.uk/art/record/20564?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53714?highlight=*:*
For Sanfrancisco (Unknown),Andrew Arnott,https://collections.ed.ac.uk/art/record/21606?highlight=*:*
Untitled (1985-1986),Norman Cameron,https://collections.ed.ac.uk/art/record/21634?highlight=*:*
1986 Edinburgh College of Art Degree Show (1986),Hilary A. Fisher,https://collections.ed.ac.uk/art/record/21582?highlight=*:*
Head of a Young Man (1950),Alison E. H. Stuart,https://collections.ed.ac.uk/art/record/22689?highlight=*:*
Standing Male Nude (1952),Adam Robson,https://collections.ed.ac.uk/art/record/20810?highlight=*:*
Portrait of a Man (19 Nov 1958),A Robson,https://collections.ed.ac.uk/art/record/20936?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53543?highlight=*:*
Untitled (Unknown),Kate Stancliffe,https://collections.ed.ac.uk/art/record/21601?highlight=*:*
Dušan Jovanović: Vojna Tajna (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22032?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53562?highlight=*:*
Untitiled (1934),A. Patterson Barclay,https://collections.ed.ac.uk/art/record/21803?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50420?highlight=*:*
Standing Female Nude (21 Feb 1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/20901?highlight=*:*
Circus,Margaret A Leake,https://collections.ed.ac.uk/art/record/21012?highlight=*:*
Untitled (2003),Gillian Curry,https://collections.ed.ac.uk/art/record/99927?highlight=*:*
Seated Female Nude (03 Feb 1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20870?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20695?highlight=*:*
Horse,Emma Gillies,https://collections.ed.ac.uk/art/record/53747?highlight=*:*
Unknown (1943-1944),William MacLaren,https://collections.ed.ac.uk/art/record/50490?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21610?highlight=*:*
Portrait of a Woman (1958),Peter Stitt,https://collections.ed.ac.uk/art/record/20958?highlight=*:*
Turquoise and Pink (Circa 1969),Maureen Marshall,https://collections.ed.ac.uk/art/record/22546?highlight=*:*
Untitled,Robert Maclaurin,https://collections.ed.ac.uk/art/record/111033?highlight=*:*
Portrait of a Boy Seated (17 Mar 1955),Norma Macgregor,https://collections.ed.ac.uk/art/record/21220?highlight=*:*
Highstreet Harlesden (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99282?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20730?highlight=*:*
Untitled - Two Chefs (1984-1985),Angus C. A. Hood,https://collections.ed.ac.uk/art/record/99429?highlight=*:*
Kneeling Nude Male (1961),Catherine Banchop,https://collections.ed.ac.uk/art/record/21279?highlight=*:*
Self (1964),Senga Guthrie,https://collections.ed.ac.uk/art/record/53593?highlight=*:*
Whale,Bridget Steed,https://collections.ed.ac.uk/art/record/93374?highlight=*:*
"St. Martins Bridge, Toledo (Unknown)",William Wilson,https://collections.ed.ac.uk/art/record/21775?highlight=*:*
Still Life,Scott Murray,https://collections.ed.ac.uk/art/record/22613?highlight=*:*
Seascape from a Boat (1952),Alistair M Park,https://collections.ed.ac.uk/art/record/21349?highlight=*:*
Untitled (2002),Lisa Flett,https://collections.ed.ac.uk/art/record/99926?highlight=*:*
Seated Male Nude (1957),Hylda M Sutcliffe,https://collections.ed.ac.uk/art/record/20830?highlight=*:*
Unknown,Kenneth Dingwall,https://collections.ed.ac.uk/art/record/50629?highlight=*:*
Untitled (Unknown),Catherine Fairgrieve,https://collections.ed.ac.uk/art/record/21721?highlight=*:*
No 98 (1960),John Johnstone,https://collections.ed.ac.uk/art/record/99207?highlight=*:*
Untitled (1967),Sam Rae,https://collections.ed.ac.uk/art/record/21756?highlight=*:*
Step 2 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21307?highlight=*:*
After the Fall of Snow (1986),Hilary A. Fisher,https://collections.ed.ac.uk/art/record/21705?highlight=*:*
Ship yard (1965),Helen M. Percy,https://collections.ed.ac.uk/art/record/102743?highlight=*:*
Unknown (1957),William J. Dungate,https://collections.ed.ac.uk/art/record/53524?highlight=*:*
Life Drawing,Eugene Corolan,https://collections.ed.ac.uk/art/record/99850?highlight=*:*
Seated Male Nude (1953),Roy McCallum,https://collections.ed.ac.uk/art/record/20897?highlight=*:*
Momen (2005),Tadas Gindrenas,https://collections.ed.ac.uk/art/record/99901?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53685?highlight=*:*
The Repairable Flatpack Toaster (2017),Kasey Hou,https://collections.ed.ac.uk/art/record/100020?highlight=*:*
Processions Banner (2018),Lindy Richardson,https://collections.ed.ac.uk/art/record/102750?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50384?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,https://collections.ed.ac.uk/art/record/21060?highlight=*:*
Horses of Helios from East Pediment,NA,https://collections.ed.ac.uk/art/record/20635?highlight=*:*
Self Portrait (1947),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50441?highlight=*:*
Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50584?highlight=*:*
Standing Female Nude (1969),Rosemary Matheson,https://collections.ed.ac.uk/art/record/21098?highlight=*:*
Rosa Regolit (2007),Bridget Steed,https://collections.ed.ac.uk/art/record/99973?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21405?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21861?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21999?highlight=*:*
Stairs,Scott Lawrie,https://collections.ed.ac.uk/art/record/21515?highlight=*:*
Untitled (1960),Robert L Snowden,https://collections.ed.ac.uk/art/record/21538?highlight=*:*
Composition (1987),Gordon W. Boyd,https://collections.ed.ac.uk/art/record/22564?highlight=*:*
"Commercial Street, Leith (1950)",John W. Corner,https://collections.ed.ac.uk/art/record/21828?highlight=*:*
Untitled - Semi-Nude Woman Combing Her Hair (1961-1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99353?highlight=*:*
View of a House,Lynne Coyle,https://collections.ed.ac.uk/art/record/21493?highlight=*:*
Still Life Fish (1953),Ian J. D. Short,https://collections.ed.ac.uk/art/record/22681?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20672?highlight=*:*
"Funerary Statue of Marcellus, nephew of Augustus",Unknown,https://collections.ed.ac.uk/art/record/20587?highlight=*:*
Portrait of a Man (1959),B Clapperton,https://collections.ed.ac.uk/art/record/20909?highlight=*:*
Portrait of a Woman,V Timmins,https://collections.ed.ac.uk/art/record/21442?highlight=*:*
Reclining Male Nude (1954),David Ewans,https://collections.ed.ac.uk/art/record/21252?highlight=*:*
Still Life with Net and Burning Candle (Circa 1987),Donald Clark,https://collections.ed.ac.uk/art/record/22528?highlight=*:*
Untitled - Paris cityscape with Two Cranes (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99343?highlight=*:*
Portrait of a Woman (1958),David Rifat,https://collections.ed.ac.uk/art/record/20872?highlight=*:*
Portrait of a Woman in a Hat (Head and Shoulders) (1950),Edward Stratton,https://collections.ed.ac.uk/art/record/20826?highlight=*:*
Portrait of a Woman,Lucy Bowman,https://collections.ed.ac.uk/art/record/21512?highlight=*:*
Untitled (1976),Ian Baillie,https://collections.ed.ac.uk/art/record/21599?highlight=*:*
Grey Still Life (1948),Thomas M. B. Watt,https://collections.ed.ac.uk/art/record/22653?highlight=*:*
Untitled - Abstract Building (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99422?highlight=*:*
Gem cabinet 4 (of 6) containing 43 medallions,Unknown,https://collections.ed.ac.uk/art/record/20618?highlight=*:*
Inner Landscape (2006),Thipel,https://collections.ed.ac.uk/art/record/99990?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/102729?highlight=*:*
Untitled,Unknown,https://collections.ed.ac.uk/art/record/102728?highlight=*:*
Unknown (1968),Maureen Purcell,https://collections.ed.ac.uk/art/record/53588?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21987?highlight=*:*
Play-Areas (Unknown),Wendy McMurdo,https://collections.ed.ac.uk/art/record/21597?highlight=*:*
Untitled (1981),Sarah Robertson,https://collections.ed.ac.uk/art/record/21835?highlight=*:*
Blue Altarpiece (Circa 1952),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21016?highlight=*:*
Mefisto (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22037?highlight=*:*
Arizona (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21813?highlight=*:*
Untitled - Men and Fishing Nets (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99345?highlight=*:*
Untitled (1962),Deborah Eadie,https://collections.ed.ac.uk/art/record/99495?highlight=*:*
Untitled - Portrait of a Woman in a Hat (1974),Patricia M Leighton,https://collections.ed.ac.uk/art/record/99473?highlight=*:*
Reclining Male Nude (25 Nov 1949),Adam Robson,https://collections.ed.ac.uk/art/record/20811?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21793?highlight=*:*
Untitled (1987),Henry Rodgers,https://collections.ed.ac.uk/art/record/99799?highlight=*:*
Acteon (1838),Sarti,https://collections.ed.ac.uk/art/record/20582?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53511?highlight=*:*
Horses from North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20716?highlight=*:*
Unknown (1960),Robin E. Bownass,https://collections.ed.ac.uk/art/record/50605?highlight=*:*
Reclining Female Nude (1961),Gwendolene H. MacKenzie,https://collections.ed.ac.uk/art/record/22718?highlight=*:*
Seated Male Nude (1960),Thomas T Robertson,https://collections.ed.ac.uk/art/record/20807?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,https://collections.ed.ac.uk/art/record/99970?highlight=*:*
Seated Female Nude (1964),William Gillon,https://collections.ed.ac.uk/art/record/21342?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,https://collections.ed.ac.uk/art/record/99414?highlight=*:*
Man with Wooden Leg Pulling Cart of Flowers (1958-1959),Peter Standen,https://collections.ed.ac.uk/art/record/20795?highlight=*:*
Unknown (1950),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/53556?highlight=*:*
Small black figure with long wavy hair,Unknown,https://collections.ed.ac.uk/art/record/20546?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21986?highlight=*:*
Untitled (1986),Ian McKenzie Smith,https://collections.ed.ac.uk/art/record/21708?highlight=*:*
Seated Woman (Circa 1961),Ann F Ward,https://collections.ed.ac.uk/art/record/21354?highlight=*:*
Standing Boxer (1964),John Bellany,https://collections.ed.ac.uk/art/record/20778?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,https://collections.ed.ac.uk/art/record/21580?highlight=*:*
Three Views of a Standing Male Nude (1948),John Thompson,https://collections.ed.ac.uk/art/record/20844?highlight=*:*
Life Float and Boat,Ashley McCormick,https://collections.ed.ac.uk/art/record/21478?highlight=*:*
Portrait of a Woman (1939-1940),Robert A Campbell,https://collections.ed.ac.uk/art/record/21129?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50395?highlight=*:*
Unknown (1962),Carol Handyside,https://collections.ed.ac.uk/art/record/50480?highlight=*:*
Scaffolding - 'Formasons Stone Renovators Edinburgh',Ian Johnstone,https://collections.ed.ac.uk/art/record/21506?highlight=*:*
The Misadventure (1989),John Brown,https://collections.ed.ac.uk/art/record/21575?highlight=*:*
Men in a Rugby Changing Room (Circa 1953),Trevor Stubley,https://collections.ed.ac.uk/art/record/21412?highlight=*:*
Untitled (1967),Helen Pollock,https://collections.ed.ac.uk/art/record/112446?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99336?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113777?highlight=*:*
Portrait Male (1975),Andrew J. Neil,https://collections.ed.ac.uk/art/record/22726?highlight=*:*
"Still Life with White Lace, Fish and Edinburgh Castle (1967)",Marie Waugh,https://collections.ed.ac.uk/art/record/22580?highlight=*:*
Untitled - Portrait of a Girl in a Hat (05 Dec 1966),Catherine Robin,https://collections.ed.ac.uk/art/record/99411?highlight=*:*
Rabbit,Emma Gillies,https://collections.ed.ac.uk/art/record/53751?highlight=*:*
Chinese sleeveband.figures,Unknown,https://collections.ed.ac.uk/art/record/102700?highlight=*:*
Seated Nude Woman (1958),George A. MacPherson,https://collections.ed.ac.uk/art/record/22647?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21925?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21853?highlight=*:*
Running goddess from east pediment of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20636?highlight=*:*
Orkney Totem (Unknown),Reinhard Behrens,https://collections.ed.ac.uk/art/record/21690?highlight=*:*
Seated Female Nude (1959),C Byron,https://collections.ed.ac.uk/art/record/20917?highlight=*:*
Untitled (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/21535?highlight=*:*
Unknown (1950),Francis Curran,https://collections.ed.ac.uk/art/record/50506?highlight=*:*
IV (1963),John Bellany,https://collections.ed.ac.uk/art/record/20745?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53646?highlight=*:*
Unknown (1964),McKinnell,https://collections.ed.ac.uk/art/record/50478?highlight=*:*
Untitled (2014),Rachel Hill,https://collections.ed.ac.uk/art/record/47450?highlight=*:*
Untitled - Life Drawing of Woman Reclining on a Bed (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99249?highlight=*:*
Memory and Process (2015),Callum Watson,https://collections.ed.ac.uk/art/record/53779?highlight=*:*
Bar at 1732 St Charles (02 Aug 1973),Jonathan Woodham,https://collections.ed.ac.uk/art/record/21433?highlight=*:*
Untitled,Jean M. A. Conacher,https://collections.ed.ac.uk/art/record/112353?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99918?highlight=*:*
Landscape,Donald Clark,https://collections.ed.ac.uk/art/record/21487?highlight=*:*
Standing Female Nude (1952),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21020?highlight=*:*
Unknown,Linda Hennker,https://collections.ed.ac.uk/art/record/50375?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,https://collections.ed.ac.uk/art/record/21156?highlight=*:*
Men in a Rugby Changing Room (Circa 1953),Trevor Stubley,https://collections.ed.ac.uk/art/record/21411?highlight=*:*
Untitled (Unknown),Patrick McKenzie Smith,https://collections.ed.ac.uk/art/record/21613?highlight=*:*
"(In ""Head"" 73) (1973)",Gavin Robson,https://collections.ed.ac.uk/art/record/99404?highlight=*:*
Vojna Tajna (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22471?highlight=*:*
Standing Female Nude (1957),Morag Cuthbertson,https://collections.ed.ac.uk/art/record/20965?highlight=*:*
Unknown (1963),Roger Cameron,https://collections.ed.ac.uk/art/record/53590?highlight=*:*
Rainman/Air Boys (2003),John Schulz,https://collections.ed.ac.uk/art/record/99931?highlight=*:*
Nabucco (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22031?highlight=*:*
Man and Basket (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21030?highlight=*:*
"Male Nude, possibly Hermes (with bubbly feet)",Unknown,https://collections.ed.ac.uk/art/record/20603?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,https://collections.ed.ac.uk/art/record/99451?highlight=*:*
Standing Female Nude (1951),Ruth Wilson,https://collections.ed.ac.uk/art/record/21230?highlight=*:*
Portrait of a Woman (1962),Helen Wishart,https://collections.ed.ac.uk/art/record/21297?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21932?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21994?highlight=*:*
Gem cabinet 1 (of 6) containing 43 medallions,Unknown,https://collections.ed.ac.uk/art/record/20615?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/21007?highlight=*:*
Building in a Landscape,Ruth Stirling,https://collections.ed.ac.uk/art/record/21523?highlight=*:*
Grooms and Riders from North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20712?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21556?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21984?highlight=*:*
Kneeling Male Nude (1953),Peter Brady,https://collections.ed.ac.uk/art/record/20967?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,https://collections.ed.ac.uk/art/record/99427?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21701?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99910?highlight=*:*
Portrait with a Beret,C Stiven,https://collections.ed.ac.uk/art/record/21437?highlight=*:*
Espresso Cup,Emma Gillies,https://collections.ed.ac.uk/art/record/53693?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22017?highlight=*:*
