title,artist,link
Drawing of Reclining Nude Sculpture (15 May 1950),David Michie,https://collections.ed.ac.uk/art/record/21036?highlight=*:*
Unknown (1985),Donald Provan,https://collections.ed.ac.uk/art/record/50418?highlight=*:*
Ashes and Diamonds (Unknown),David Freed,https://collections.ed.ac.uk/art/record/21654?highlight=*:*
Seated Female Nude (1959),W Bryden,https://collections.ed.ac.uk/art/record/21107?highlight=*:*
Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*
Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*
Abstract Composition with Fabric Collage,Caroline E. L. Wilkinson,https://collections.ed.ac.uk/art/record/22511?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21784?highlight=*:*
Reclining Female Nude (14 Dec 1952),Llewella Brayne,https://collections.ed.ac.uk/art/record/20940?highlight=*:*
Standing Female Nude (Nov 1957),Walter Miller,https://collections.ed.ac.uk/art/record/20908?highlight=*:*
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50544?highlight=*:*
Portrait of a Seated Woman,Barbara Mackie,https://collections.ed.ac.uk/art/record/20999?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21408?highlight=*:*
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,https://collections.ed.ac.uk/art/record/99478?highlight=*:*
Portrait of a Woman (1947),James Cumming,https://collections.ed.ac.uk/art/record/21363?highlight=*:*
Untitled (1967),Christine Watson,https://collections.ed.ac.uk/art/record/21772?highlight=*:*
Untitled (1969),John Stewart,https://collections.ed.ac.uk/art/record/99528?highlight=*:*
Untitled - Life Drawing of Skeletons (1963),William O. Little,https://collections.ed.ac.uk/art/record/99268?highlight=*:*
"Seated Fate, east pediment of the Parthenon",NA,https://collections.ed.ac.uk/art/record/20637?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20699?highlight=*:*
Unknown (1958),Katherine Cowan,https://collections.ed.ac.uk/art/record/50514?highlight=*:*
Farm Building (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21467?highlight=*:*
From the Viking Age (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50469?highlight=*:*
Quick Sketch (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50619?highlight=*:*
Couple Near a Window,Unknown,https://collections.ed.ac.uk/art/record/22597?highlight=*:*
Transposition (Red and Gold) (2014),Emma Smith,https://collections.ed.ac.uk/art/record/47457?highlight=*:*
Poirtrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21440?highlight=*:*
Unknown (18 May 1948),Edward A. Gage,https://collections.ed.ac.uk/art/record/50630?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99255?highlight=*:*
Distortion 2 (2014),Ainsley Francis,https://collections.ed.ac.uk/art/record/47453?highlight=*:*
Untitled - Three Horse Riders (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99403?highlight=*:*
Archway,Louise Allardyce,https://collections.ed.ac.uk/art/record/21524?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21400?highlight=*:*
Untitled (1980),Unknown,https://collections.ed.ac.uk/art/record/99824?highlight=*:*
Unknown (1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50597?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21931?highlight=*:*
Portrait of a Bearded Man (1956),James Lennox,https://collections.ed.ac.uk/art/record/21192?highlight=*:*
Unknown (1994),Esther Tacke,https://collections.ed.ac.uk/art/record/21914?highlight=*:*
Standing Man with Scythe,John Houston,https://collections.ed.ac.uk/art/record/21046?highlight=*:*
Seated Female Nude (1958),David Rifat,https://collections.ed.ac.uk/art/record/20873?highlight=*:*
Minoan Fertility Goddess Figurines (2017),Daisy Silver,https://collections.ed.ac.uk/art/record/100015?highlight=*:*
Unknown (1949),Richard Lovell,https://collections.ed.ac.uk/art/record/50488?highlight=*:*
Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,https://collections.ed.ac.uk/art/record/99391?highlight=*:*
Standing Woman,John Bellany,https://collections.ed.ac.uk/art/record/20766?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,https://collections.ed.ac.uk/art/record/20739?highlight=*:*
Untitled (1966),Jean Selby,https://collections.ed.ac.uk/art/record/22478?highlight=*:*
Embroidered panel,Winsome Douglass,https://collections.ed.ac.uk/art/record/113835?highlight=*:*
Untitled (Unknown),Marjorie Ann,https://collections.ed.ac.uk/art/record/99907?highlight=*:*
Portrait (1954),Ursula Giles,https://collections.ed.ac.uk/art/record/21207?highlight=*:*
Untitled (1994),Sara Ogilvie,https://collections.ed.ac.uk/art/record/21961?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,https://collections.ed.ac.uk/art/record/21050?highlight=*:*
Graveyard and Church Ruins,Alistair Hartleby (?),https://collections.ed.ac.uk/art/record/21498?highlight=*:*
Design folio (1961),Sheila Flinn,https://collections.ed.ac.uk/art/record/102686?highlight=*:*
Bust of the Prima Porta Augustus Caesar (Post 1863),NA,https://collections.ed.ac.uk/art/record/20549?highlight=*:*
Unknown (1952),Leonard I. H. Gray,https://collections.ed.ac.uk/art/record/53487?highlight=*:*
Unknown (24 Jan 1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50588?highlight=*:*
